Lot,Wafer,Mask,Row,Column,DieLabel,TestSite,Name,Date,AnalysisType,AnalysisWavelength [nm],IL(ref-01) [dB],IL(ref-02) [dB],Rsq_REF,Rsq_Spiral01,Rsq_Spiral02,Error_flag
AL810962,D04,SIPP21e,0,-5,(0|-5),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-19.321223272563657,0.9978226826274751,0.9915245450637437,0.0,,
AL810962,D04,SIPP21e,0,0,(0|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-20.687330315675354,0.9917744506350675,0.9791427239670193,0.0,,
AL810962,D04,SIPP21e,0,5,(0|5),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-11.116808836959535,0.9946126394127147,0.988292778888117,0.0,,
AL810962,D04,SIPP21e,2,-2,(2|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-10.780242815613747,0.9946687231931782,0.9935944559622221,0.0,,
AL810962,D04,SIPP21e,2,2,(2|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-11.196060636691982,0.9942115899630888,0.9892441061525507,0.0,,
AL810962,D04,SIPP21e,3,0,(3|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-11.24560715444386,0.9929401378112227,0.9911066580619982,0.0,,
AL810962,D04,SIPP21e,4,-4,(4|-4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-19.54665403990657,0.9957241624486334,0.9866978762912545,0.0,,
AL810962,D04,SIPP21e,4,4,(4|4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-11.767975892173126,0.9953533873544355,0.9892679608491309,0.0,,
AL810962,D04,SIPP21e,9,0,(9|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-10.917418450393598,0.9964981430323708,0.9918418433608504,0.0,,
AL810962,D05,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191115_002729,LOSS,1550.0,-9.950590793130687,0.9799373613625988,0.9421700857999299,0.0,,
AL810962,D05,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191115_002729,LOSS,1550.0,-11.167025517992442,0.9750095698659282,0.9703623518858906,0.0,,
AL810962,D05,SIPP21e,0,3,(0|3),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191115_002729,LOSS,1550.0,-10.348329646571074,0.9445529459580702,0.9579500646602562,0.0,,
AL810962,D05,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191115_002729,LOSS,1550.0,-10.494148143247003,0.9683110830203507,0.9625182640244081,0.0,,
AL810962,D05,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191115_002729,LOSS,1550.0,-10.378915863213479,0.9675914740313096,0.9567276465769283,0.0,,
AL810962,D05,SIPP21e,4,-4,(4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191115_002729,LOSS,1550.0,-10.039742143038893,0.9532203921194309,0.865364658504018,0.0,,
